Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
141,0.00,0.00,0.00,2322.30,0.00
142,0.00,0.00,0.00,2370.40,0.00
143,0.00,0.00,0.00,2365.40,0.00
144,0.00,0.00,0.00,2375.40,0.00
145,0.00,0.00,0.00,2398.80,0.00
146,0.00,0.00,0.00,2431.70,0.00
147,0.00,0.00,0.00,2428.70,0.00
148,0.00,0.00,0.00,2484.20,0.00
149,0.00,0.00,0.00,2481.00,0.00
150,0.00,0.00,0.00,2509.60,0.00
151,0.00,0.00,0.00,2506.30,0.00
152,0.00,0.00,0.00,2541.80,0.00
153,0.00,0.00,0.00,2536.00,0.00
154,0.00,0.00,0.00,2589.90,0.00
155,0.00,0.00,0.00,2592.90,0.00
156,0.00,0.00,0.00,2653.80,0.00
157,0.00,0.00,0.00,2632.10,0.00
158,0.00,0.00,0.00,2671.70,0.00
159,0.00,0.00,0.00,2659.50,0.00
160,0.00,0.00,0.00,2703.00,0.00
161,0.00,0.00,0.00,2697.90,0.00
162,0.00,0.00,0.00,2727.30,0.00
163,0.00,0.00,0.00,2743.90,0.00
164,0.00,0.00,0.00,2777.50,0.00
165,0.00,0.00,0.00,2793.80,0.00
166,0.00,0.00,0.00,2831.80,0.00
167,0.00,0.00,0.00,2792.90,0.00
168,0.00,0.00,0.00,2852.00,0.00
169,0.00,0.00,0.00,2873.30,0.00
170,0.00,0.00,0.00,2887.30,0.00
171,0.00,0.00,0.00,2903.20,0.00
172,0.00,0.00,0.00,2959.40,0.00
173,0.00,0.00,0.00,2927.10,0.00
174,0.00,0.00,0.00,3008.80,0.00
175,0.00,0.00,0.00,2976.10,0.00
176,0.00,0.00,0.00,3028.00,0.00
177,0.00,0.00,0.00,3038.10,0.00
178,0.00,0.00,0.00,3072.10,0.00
179,0.00,0.00,0.00,3066.20,0.00
180,0.00,0.00,0.00,3104.90,0.00
181,0.00,0.00,0.00,3115.30,0.00
182,0.00,0.00,0.00,3153.10,0.00
183,0.00,0.00,0.00,3154.00,0.00
184,0.00,0.00,0.00,3175.30,0.00
185,0.00,0.00,0.00,3207.00,0.00
186,0.00,0.00,0.00,3225.80,0.00
187,0.00,0.00,0.00,3234.70,0.00
188,0.00,0.00,0.00,3255.00,0.00
189,0.00,0.00,0.00,3296.90,0.00
190,0.00,0.00,0.00,3319.30,0.00
191,0.00,0.00,0.00,3316.00,0.00
192,0.00,0.00,0.00,3363.60,0.00
193,0.00,0.00,0.00,3353.60,0.00
194,0.00,0.00,0.00,3368.60,0.00
195,0.00,0.00,0.00,3381.60,0.00
196,0.00,0.00,0.00,3402.40,0.00
197,0.00,0.00,0.00,3423.90,0.00
198,0.00,0.00,0.00,3478.80,0.00
199,0.00,0.00,0.00,3441.80,0.00
200,0.00,0.00,0.00,3490.70,0.00
201,0.00,0.00,0.00,3520.70,0.00
202,0.00,0.00,0.00,3537.90,0.00
203,0.00,0.00,0.00,3531.70,0.00
204,0.00,0.00,0.00,3581.10,0.00
205,0.00,0.00,0.00,3577.40,0.00
206,0.00,0.00,0.00,3607.30,0.00
207,0.00,0.00,0.00,3607.70,0.00
208,0.00,0.00,0.00,3634.00,0.00
209,0.00,0.00,0.00,3635.30,0.00
210,0.00,0.00,0.00,3692.70,0.00
211,0.00,0.00,0.00,3672.40,0.00
212,0.00,0.00,0.00,3728.20,0.00
213,0.00,0.00,0.00,3705.10,0.00
214,0.00,0.00,0.00,3774.70,0.00
215,0.00,0.00,0.00,3761.20,0.00
216,0.00,0.00,0.00,3787.80,0.00
217,0.00,0.00,0.00,3815.70,0.00
218,0.00,0.00,0.00,3821.40,0.00
219,0.00,0.00,0.00,3830.80,0.00
220,0.00,0.00,0.00,3858.30,0.00
221,0.00,0.00,0.00,3876.30,0.00
222,0.00,0.00,0.00,3922.40,0.00
223,0.00,0.00,0.00,3944.80,0.00
224,0.00,0.00,0.00,3948.60,0.00
225,0.00,0.00,0.00,3967.90,0.00
226,0.00,0.00,0.00,4007.10,0.00
227,0.00,0.00,0.00,3979.40,0.00
228,0.00,0.00,0.00,4038.30,0.00
229,0.00,0.00,0.00,4037.10,0.00
230,0.00,0.00,0.00,4077.00,0.00
231,0.00,0.00,0.00,4076.40,0.00
232,0.00,0.00,0.00,4085.20,0.00
233,0.00,0.00,0.00,4087.10,0.00
234,0.00,0.00,0.00,4153.00,0.00
235,0.00,0.00,0.00,4155.00,0.00
236,0.00,0.00,0.00,4189.80,0.00
237,0.00,0.00,0.00,4203.70,0.00
238,0.00,0.00,0.00,4229.60,0.00
239,0.00,0.00,0.00,4203.70,0.00
240,0.00,0.00,0.00,4282.20,0.00
241,0.00,0.00,0.00,4270.80,0.00
242,0.00,0.00,0.00,4307.10,0.00
243,0.00,0.00,0.00,4286.50,0.00
244,0.00,0.00,0.00,4313.10,0.00
245,0.00,0.00,0.00,4353.50,0.00
246,0.00,0.00,0.00,4380.50,0.00
247,0.00,0.00,0.00,4369.00,0.00
248,0.00,0.00,0.00,4435.00,0.00
249,0.00,0.00,0.00,4429.80,0.00
250,0.00,0.00,0.00,4454.50,0.00
251,0.00,0.00,0.00,4474.80,0.00
252,0.00,0.00,0.00,4494.70,0.00
253,0.00,0.00,0.00,4527.00,0.00
254,0.00,0.00,0.00,4552.00,0.00
255,0.00,0.00,0.00,4533.00,0.00
256,0.00,0.00,0.00,4599.30,0.00
257,0.00,0.00,0.00,4571.20,0.00
258,0.00,0.00,0.00,4606.40,0.00
259,0.00,0.00,0.00,4631.70,0.00
260,0.00,0.00,0.00,4666.50,0.00
261,0.00,0.00,0.00,4650.00,0.00
262,0.00,0.00,0.00,4696.40,0.00
263,0.00,0.00,0.00,4718.10,0.00
264,0.00,0.00,0.00,4727.60,0.00
265,0.00,0.00,0.00,4758.00,0.00
266,0.00,0.00,0.00,4780.30,0.00
267,0.00,0.00,0.00,4773.80,0.00
268,0.00,0.00,0.00,4827.70,0.00
269,0.00,0.00,0.00,4837.80,0.00
270,0.00,0.00,0.00,4837.00,0.00
271,0.00,0.00,0.00,4872.80,0.00
272,0.00,0.00,0.00,4912.60,0.00
273,0.00,0.00,0.00,4901.20,0.00
274,0.00,0.00,0.00,4959.10,0.00
275,0.00,0.00,0.00,4948.10,0.00
276,0.00,0.00,0.00,4963.50,0.00
277,0.00,0.00,0.00,4961.50,0.00
278,0.00,0.00,0.00,5027.90,0.00
279,0.00,0.00,0.00,5035.10,0.00
280,0.00,0.00,0.00,5066.30,0.00
281,0.00,0.00,0.00,5074.70,0.00
282,0.00,0.00,0.00,5109.60,0.00
283,0.00,0.00,0.00,5134.30,0.00
284,0.00,0.00,0.00,5149.80,0.00
285,0.00,0.00,0.00,5165.70,0.00
286,0.00,0.00,0.00,5206.30,0.00
287,0.00,0.00,0.00,5199.40,0.00
288,0.00,0.00,0.00,5213.90,0.00
289,0.00,0.00,0.00,5242.50,0.00
290,0.00,0.00,0.00,5257.00,0.00
291,0.00,0.00,0.00,5285.30,0.00
292,0.00,0.00,0.00,5322.90,0.00
293,0.00,0.00,0.00,5332.40,0.00
294,0.00,0.00,0.00,5330.50,0.00
295,0.00,0.00,0.00,5362.60,0.00
296,0.00,0.00,0.00,5379.60,0.00
297,0.00,0.00,0.00,5404.00,0.00
298,0.00,0.00,0.00,5440.30,0.00
299,0.00,0.00,0.00,5442.20,0.00
300,0.00,0.00,0.00,5470.20,0.00
301,0.00,0.00,0.00,5478.40,0.00
302,0.00,0.00,0.00,5544.60,0.00
303,0.00,0.00,0.00,5514.00,0.00
304,0.00,0.00,0.00,5586.20,0.00
305,0.00,0.00,0.00,5565.90,0.00
306,0.00,0.00,0.00,5584.20,0.00
307,0.00,0.00,0.00,5679.40,0.00
308,0.00,0.00,0.00,5643.20,0.00
309,0.00,0.00,0.00,5645.60,0.00
310,0.00,0.00,0.00,5705.70,0.00
311,0.00,0.00,0.00,5709.00,0.00
312,0.00,0.00,0.00,5764.20,0.00
313,0.00,0.00,0.00,5732.60,0.00
314,0.00,0.00,0.00,5791.70,0.00
315,0.00,0.00,0.00,5769.30,0.00
316,0.00,0.00,0.00,5827.70,0.00
317,0.00,0.00,0.00,5829.60,0.00
318,0.00,0.00,0.00,5897.10,0.00
319,0.00,0.00,0.00,5873.70,0.00
320,0.00,0.00,0.00,5931.50,0.00
321,0.00,0.00,0.00,5871.80,0.00
322,0.00,0.00,0.00,5953.80,0.00
323,0.00,0.00,0.00,5968.60,0.00
324,0.00,0.00,0.00,6004.30,0.00
325,0.00,0.00,0.00,6006.50,0.00
326,0.00,0.00,0.00,6029.00,0.00
327,0.00,0.00,0.00,6069.10,0.00
328,0.00,0.00,0.00,6059.70,0.00
329,0.00,0.00,0.00,6047.10,0.00
330,0.00,0.00,0.00,6119.90,0.00
331,0.00,0.00,0.00,6091.80,0.00
332,0.00,0.00,0.00,6173.40,0.00
333,0.00,0.00,0.00,6152.90,0.00
334,0.00,0.00,0.00,6263.90,0.00
335,0.00,0.00,0.00,6205.00,0.00
336,0.00,0.00,0.00,6268.10,0.00
337,0.00,0.00,0.00,6280.20,0.00
338,0.00,0.00,0.00,6316.30,0.00
339,0.00,0.00,0.00,6310.10,0.00
340,0.00,0.00,0.00,6321.70,0.00
341,0.00,0.00,0.00,6329.70,0.00
342,0.00,0.00,0.00,6390.30,0.00
343,0.00,0.00,0.00,6415.10,0.00
344,0.00,0.00,0.00,6417.80,0.00
345,0.00,0.00,0.00,6431.00,0.00
346,0.00,0.00,0.00,6521.40,0.00
347,0.00,0.00,0.00,6470.50,0.00
348,0.00,0.00,0.00,6538.30,0.00
349,0.00,0.00,0.00,6545.70,0.00
350,0.00,0.00,0.00,6583.70,0.00
351,0.00,0.00,0.00,6595.40,0.00
352,0.00,0.00,0.00,6593.00,0.00
353,0.00,0.00,0.00,6601.20,0.00
354,0.00,0.00,0.00,6627.40,0.00
355,0.00,0.00,0.00,6670.00,0.00
356,0.00,0.00,0.00,6702.40,0.00
357,0.00,0.00,0.00,6684.50,0.00
358,0.00,0.00,0.00,6707.30,0.00
359,0.00,0.00,0.00,6721.40,0.00
360,0.00,0.00,0.00,6768.80,0.00
361,0.00,0.00,0.00,6797.90,0.00
362,0.00,0.00,0.00,6787.70,0.00
363,0.00,0.00,0.00,6831.70,0.00
364,0.00,0.00,0.00,6843.00,0.00
365,0.00,0.00,0.00,6868.60,0.00
366,0.00,0.00,0.00,6892.60,0.00
367,0.00,0.00,0.00,6898.90,0.00
368,0.00,0.00,0.00,6928.20,0.00
369,0.00,0.00,0.00,6963.10,0.00
370,0.00,0.00,0.00,6972.00,0.00
371,0.00,0.00,0.00,6988.50,0.00
372,0.00,0.00,0.00,7019.60,0.00
373,0.00,0.00,0.00,7039.40,0.00
374,0.00,0.00,0.00,7055.90,0.00
375,0.00,0.00,0.00,7053.10,0.00
376,0.00,0.00,0.00,7101.50,0.00
377,0.00,0.00,0.00,7103.70,0.00
378,0.00,0.00,0.00,7159.90,0.00
379,0.00,0.00,0.00,7133.90,0.00
380,0.00,0.00,0.00,7176.90,0.00
381,0.00,0.00,0.00,7178.50,0.00
382,0.00,0.00,0.00,7209.30,0.00
383,0.00,0.00,0.00,7219.60,0.00
384,0.00,0.00,0.00,7271.50,0.00
385,0.00,0.00,0.00,7264.30,0.00
386,0.00,0.00,0.00,7302.90,0.00
387,0.00,0.00,0.00,7320.30,0.00
388,0.00,0.00,0.00,7361.40,0.00
389,0.00,0.00,0.00,7378.20,0.00
390,0.00,0.00,0.00,7394.10,0.00
391,0.00,0.00,0.00,7400.80,0.00
392,0.00,0.00,0.00,7455.40,0.00
393,0.00,0.00,0.00,7428.70,0.00
394,0.00,0.00,0.00,7493.60,0.00
395,0.00,0.00,0.00,7454.50,0.00
396,0.00,0.00,0.00,7538.20,0.00
397,0.00,0.00,0.00,7522.90,0.00
398,0.00,0.00,0.00,7574.50,0.00
399,0.00,0.00,0.00,7586.80,0.00
400,0.00,0.00,0.00,7583.60,0.00
401,0.00,0.00,0.00,7622.30,0.00
402,0.00,0.00,0.00,7632.70,0.00
403,0.00,0.00,0.00,7644.10,0.00
404,0.00,0.00,0.00,7661.00,0.00
405,0.00,0.00,0.00,7696.60,0.00
406,0.00,0.00,0.00,7708.00,0.00
407,0.00,0.00,0.00,7734.20,0.00
408,0.00,0.00,0.00,7765.10,0.00
409,0.00,0.00,0.00,7739.10,0.00
410,0.00,0.00,0.00,7798.70,0.00
411,0.00,0.00,0.00,7802.60,0.00
412,0.00,0.00,0.00,7818.00,0.00
413,0.00,0.00,0.00,7843.10,0.00
414,0.00,0.00,0.00,7881.90,0.00
415,0.00,0.00,0.00,7889.40,0.00
416,0.00,0.00,0.00,7936.60,0.00
417,0.00,0.00,0.00,7914.00,0.00
418,0.00,0.00,0.00,8017.50,0.00
419,0.00,0.00,0.00,7999.90,0.00
420,0.00,0.00,0.00,8013.30,0.00
421,0.00,0.00,0.00,7995.70,0.00
422,0.00,0.00,0.00,8034.30,0.00
423,0.00,0.00,0.00,8043.80,0.00
424,0.00,0.00,0.00,8088.00,0.00
425,0.00,0.00,0.00,8110.50,0.00
426,0.00,0.00,0.00,8144.40,0.00
427,0.00,0.00,0.00,8158.00,0.00
428,0.00,0.00,0.00,8145.50,0.00
429,0.00,0.00,0.00,8169.20,0.00
430,0.00,0.00,0.00,8187.80,0.00
431,0.00,0.00,0.00,8229.50,0.00
432,0.00,0.00,0.00,8265.40,0.00
433,0.00,0.00,0.00,8210.60,0.00
434,0.00,0.00,0.00,8297.70,0.00
435,0.00,0.00,0.00,8289.80,0.00
436,0.00,0.00,0.00,8336.60,0.00
437,0.00,0.00,0.00,8337.50,0.00
438,0.00,0.00,0.00,8385.30,0.00
439,0.00,0.00,0.00,8373.80,0.00
440,0.00,0.00,0.00,8450.00,0.00
441,0.00,0.00,0.00,8441.00,0.00
442,0.00,0.00,0.00,8416.80,0.00
443,0.00,0.00,0.00,8495.40,0.00
444,0.00,0.00,0.00,8495.00,0.00
445,0.00,0.00,0.00,8484.70,0.00
446,0.00,0.00,0.00,8537.70,0.00
447,0.00,0.00,0.00,8536.10,0.00
448,0.00,0.00,0.00,8560.00,0.00
449,0.00,0.00,0.00,8561.50,0.00
450,0.00,0.00,0.00,8616.20,0.00
451,0.00,0.00,0.00,8626.20,0.00
452,0.00,0.00,0.00,8696.90,0.00
453,0.00,0.00,0.00,8664.90,0.00
454,0.00,0.00,0.00,8718.40,0.00
455,0.00,0.00,0.00,8714.80,0.00
456,0.00,0.00,0.00,8745.10,0.00
457,0.00,0.00,0.00,8738.30,0.00
458,0.00,0.00,0.00,8779.70,0.00
459,0.00,0.00,0.00,8829.10,0.00
460,0.00,0.00,0.00,8817.50,0.00
461,0.00,0.00,0.00,8866.50,0.00
462,0.00,0.00,0.00,8885.30,0.00
463,0.00,0.00,0.00,8894.90,0.00
464,0.00,0.00,0.00,8917.70,0.00
465,0.00,0.00,0.00,8918.20,0.00
466,0.00,0.00,0.00,8980.10,0.00
467,0.00,0.00,0.00,8978.20,0.00
468,0.00,0.00,0.00,9029.30,0.00
469,0.00,0.00,0.00,8994.20,0.00
470,0.00,0.00,0.00,9073.50,0.00
471,0.00,0.00,0.00,9031.60,0.00
472,0.00,0.00,0.00,9086.80,0.00
473,0.00,0.00,0.00,9058.90,0.00
474,0.00,0.00,0.00,9069.30,0.00
475,0.00,0.00,0.00,9130.50,0.00
476,0.00,0.00,0.00,9158.80,0.00
477,0.00,0.00,0.00,9161.80,0.00
478,0.00,0.00,0.00,9230.20,0.00
479,0.00,0.00,0.00,9184.90,0.00
480,0.00,0.00,0.00,9268.10,0.00
481,0.00,0.00,0.00,9263.60,0.00
482,0.00,0.00,0.00,9322.80,0.00
483,0.00,0.00,0.00,9319.80,0.00
484,0.00,0.00,0.00,9351.00,0.00
485,0.00,0.00,0.00,9342.80,0.00
486,0.00,0.00,0.00,9388.90,0.00
487,0.00,0.00,0.00,9380.80,0.00
488,0.00,0.00,0.00,9452.00,0.00
489,0.00,0.00,0.00,9407.60,0.00
490,0.00,0.00,0.00,9441.50,0.00
491,0.00,0.00,0.00,9484.90,0.00
492,0.00,0.00,0.00,9486.00,0.00
493,0.00,0.00,0.00,9497.30,0.00
494,0.00,0.00,0.00,9533.80,0.00
495,0.00,0.00,0.00,9548.70,0.00
496,0.00,0.00,0.00,9610.50,0.00
497,0.00,0.00,0.00,9604.30,0.00
498,0.00,0.00,0.00,9643.80,0.00
499,0.00,0.00,0.00,9628.60,0.00
500,0.00,0.00,0.00,9655.20,0.00
501,0.00,0.00,0.00,9683.60,0.00
502,0.00,0.00,0.00,9692.30,0.00
503,0.00,0.00,0.00,9689.30,0.00
504,0.00,0.00,0.00,9748.80,0.00
505,0.00,0.00,0.00,9716.30,0.00
506,0.00,0.00,0.00,9847.80,0.00
507,0.00,0.00,0.00,9814.00,0.00
508,0.00,0.00,0.00,9828.40,0.00
509,0.00,0.00,0.00,9868.50,0.00
510,0.00,0.00,0.00,9862.00,0.00
511,0.00,0.00,0.00,9869.60,0.00
512,0.00,0.00,0.00,9902.60,0.00
513,0.00,0.00,0.00,9919.50,0.00
514,0.00,0.00,0.00,9993.00,0.00
515,0.00,0.00,0.00,9937.30,0.00
516,0.00,0.00,0.00,9983.00,0.00
517,0.00,0.00,0.00,9999.10,0.00
518,0.00,0.00,0.00,10061.60,0.00
519,0.00,0.00,0.00,10067.40,0.00
520,0.00,0.00,0.00,10111.60,0.00
521,0.00,0.00,0.00,10118.50,0.00
522,0.00,0.00,0.00,10147.40,0.00
