Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,0.00,0.00,0.00,0.00
2,0.00,4.50,0.00,0.00,0.00
3,0.00,4.20,0.00,0.00,0.00
4,0.00,16.50,0.00,0.00,0.00
5,0.00,17.80,0.00,0.00,0.00
6,0.00,22.40,0.00,0.00,0.00
7,0.00,25.90,0.00,0.00,0.00
8,0.00,34.40,0.00,0.00,0.00
9,0.00,37.70,0.00,0.00,0.00
10,0.00,47.90,0.00,0.00,0.00
11,0.00,40.50,0.00,0.00,0.00
12,0.00,58.70,0.00,0.00,0.00
13,0.00,63.30,0.00,0.00,0.00
14,0.00,65.10,0.00,0.00,0.00
15,0.00,63.00,0.00,0.00,0.00
16,0.00,70.50,0.00,0.00,0.00
17,0.00,85.90,0.00,0.00,0.00
18,0.00,79.30,0.00,0.00,0.00
19,0.00,88.10,0.00,0.00,0.00
20,0.00,91.30,0.00,0.00,0.00
21,0.00,84.60,0.00,0.00,0.00
22,0.00,109.70,0.00,0.00,0.00
23,0.00,101.50,0.00,0.00,0.00
24,0.00,114.60,0.00,0.00,0.00
25,0.00,110.20,0.00,0.00,0.00
26,0.00,125.60,0.00,0.00,0.00
27,0.00,123.20,0.00,0.00,0.00
28,0.00,141.70,0.00,0.00,0.00
29,0.00,145.10,0.00,0.00,0.00
30,0.00,140.10,0.00,0.00,0.00
31,0.00,145.00,0.00,0.00,0.00
32,0.00,166.90,0.00,0.00,0.00
33,0.00,153.50,0.00,0.00,0.00
34,0.00,173.40,0.00,0.00,0.00
35,0.00,172.30,0.00,0.00,0.00
36,0.00,171.00,0.00,0.00,0.00
37,0.00,178.70,0.00,0.00,0.00
38,0.00,205.40,0.00,0.00,0.00
39,0.00,188.70,0.00,0.00,0.00
40,0.00,199.70,0.00,0.00,0.00
41,0.00,196.70,0.00,0.00,0.00
42,0.00,227.00,0.00,0.00,0.00
43,0.00,210.80,0.00,0.00,0.00
44,0.00,213.30,0.00,0.00,0.00
45,0.00,207.30,0.00,0.00,0.00
46,0.00,222.00,0.00,0.00,0.00
47,0.00,212.90,0.00,0.00,0.00
48,0.00,252.20,0.00,0.00,0.00
49,0.00,239.50,0.00,0.00,0.00
50,0.00,238.10,0.00,0.00,0.00
51,0.00,245.00,0.00,0.00,0.00
52,0.00,247.60,0.00,0.00,0.00
53,0.00,265.20,0.00,0.00,0.00
54,0.00,254.80,0.00,0.00,0.00
55,0.00,269.00,0.00,0.00,0.00
56,0.00,284.10,0.00,0.00,0.00
57,0.00,280.70,0.00,0.00,0.00
58,0.00,271.50,0.00,0.00,0.00
59,0.00,278.60,0.00,0.00,0.00
60,0.00,296.20,0.00,0.00,0.00
61,0.00,280.40,0.00,0.00,0.00
62,0.00,319.70,0.00,0.00,0.00
63,0.00,309.00,0.00,0.00,0.00
64,0.00,294.40,0.00,0.00,0.00
65,0.00,330.60,0.00,0.00,0.00
66,0.00,342.40,0.00,0.00,0.00
67,0.00,332.60,0.00,0.00,0.00
68,0.00,310.40,0.00,0.00,0.00
69,0.00,335.90,0.00,0.00,0.00
70,0.00,353.30,0.00,0.00,0.00
71,0.00,347.10,0.00,0.00,0.00
72,0.00,361.00,0.00,0.00,0.00
73,0.00,368.00,0.00,0.00,0.00
74,0.00,360.90,0.00,0.00,0.00
75,0.00,375.60,0.00,0.00,0.00
76,0.00,382.20,0.00,0.00,0.00
77,0.00,393.60,0.00,0.00,0.00
78,0.00,387.70,0.00,0.00,0.00
79,0.00,396.70,0.00,0.00,0.00
80,0.00,410.10,0.00,0.00,0.00
81,0.00,389.40,0.00,0.00,0.00
82,0.00,398.60,0.00,0.00,0.00
83,0.00,425.10,0.00,0.00,0.00
84,0.00,429.70,0.00,0.00,0.00
85,0.00,415.50,0.00,0.00,0.00
86,0.00,395.50,0.00,0.00,0.00
87,0.00,441.50,0.00,0.00,0.00
88,0.00,430.50,0.00,0.00,0.00
89,0.00,412.10,0.00,0.00,0.00
90,0.00,450.80,0.00,0.00,0.00
91,0.00,447.10,0.00,0.00,0.00
92,0.00,459.90,0.00,0.00,0.00
93,0.00,433.10,0.00,0.00,0.00
94,0.00,470.80,0.00,0.00,0.00
95,0.00,500.00,0.00,0.00,0.00
96,0.00,498.20,0.00,0.00,0.00
97,0.00,475.00,0.00,0.00,0.00
98,0.00,509.20,0.00,0.00,0.00
99,0.00,462.50,0.00,0.00,0.00
100,0.00,477.30,0.00,0.00,0.00
101,0.00,467.30,0.00,0.00,0.00
102,0.00,492.10,0.00,0.00,0.00
103,0.00,502.90,0.00,0.00,0.00
104,0.00,509.10,0.00,0.00,0.00
105,0.00,514.10,0.00,0.00,0.00
106,0.00,530.90,0.00,0.00,0.00
107,0.00,486.50,0.00,0.00,0.00
108,0.00,565.30,0.00,0.00,0.00
109,0.00,569.50,0.00,0.00,0.00
110,0.00,531.90,0.00,0.00,0.00
111,0.00,552.40,0.00,0.00,0.00
112,0.00,528.80,0.00,0.00,0.00
113,0.00,564.50,0.00,0.00,0.00
114,0.00,571.50,0.00,0.00,0.00
115,0.00,584.90,0.00,0.00,0.00
116,0.00,545.60,0.00,0.00,0.00
117,0.00,568.20,0.00,0.00,0.00
118,0.00,527.20,0.00,0.00,0.00
119,0.00,586.70,0.00,0.00,0.00
120,0.00,588.60,0.00,0.00,0.00
121,0.00,607.30,0.00,0.00,0.00
122,0.00,598.80,0.00,0.00,0.00
123,0.00,611.30,0.00,0.00,0.00
124,0.00,595.00,0.00,0.00,0.00
125,0.00,589.50,0.00,0.00,0.00
126,0.00,552.60,0.00,0.00,0.00
127,0.00,626.10,0.00,0.00,0.00
128,0.00,632.80,0.00,0.00,0.00
129,0.00,654.00,0.00,0.00,0.00
130,0.00,670.40,0.00,0.00,0.00
131,0.00,657.70,0.00,0.00,0.00
132,0.00,665.10,0.00,0.00,0.00
133,0.00,547.50,0.00,0.00,0.00
134,0.00,588.20,0.00,0.00,0.00
135,0.00,679.40,0.00,0.00,0.00
136,0.00,687.80,0.00,0.00,0.00
