Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
128,4384.40,2990.20,3020.30,2290.20,2035.40
129,4439.20,2976.30,2975.20,2302.30,2025.60
130,4509.20,3021.10,3017.70,2363.80,2028.20
131,4527.00,3004.30,3061.60,2357.80,2033.60
132,4574.60,3043.80,3128.10,2348.50,2066.20
133,4608.00,3099.00,3129.00,2369.20,2091.60
134,4662.90,3125.20,3192.80,2455.10,2122.40
135,4674.20,3108.90,3152.60,2431.30,2125.60
136,4746.40,3173.70,3192.50,2465.20,2173.80
137,4721.20,3164.70,3255.30,2458.00,2201.80
138,4856.00,3218.50,3280.80,2491.10,2230.00
139,4820.50,3168.80,3260.50,2521.30,2248.00
140,4941.60,3284.40,3330.60,2550.10,2215.20
141,4960.40,3366.30,3327.80,2542.50,2248.40
142,4971.30,3322.90,3324.20,2601.50,2290.20
143,5013.80,3346.30,3378.70,2591.90,2325.80
144,5097.70,3377.50,3461.80,2642.90,2330.00
145,5075.10,3422.80,3437.20,2651.00,2328.40
146,5192.30,3493.00,3487.20,2675.80,2345.60
147,5167.70,3452.90,3478.60,2643.80,2347.00
148,5296.00,3507.10,3541.30,2723.70,2424.80
149,5247.30,3537.20,3591.30,2678.70,2399.40
150,5281.90,3510.80,3594.60,2749.10,2434.60
151,5352.80,3616.00,3583.30,2753.40,2428.20
152,5392.60,3623.80,3670.30,2767.80,2466.20
153,5402.30,3606.90,3679.90,2805.40,2476.40
154,5499.40,3659.30,3704.60,2830.50,2504.80
155,5542.60,3655.10,3697.40,2863.00,2485.40
156,5588.50,3687.80,3754.40,2912.10,2585.60
157,5592.90,3717.70,3786.00,2922.30,2578.00
158,5672.90,3758.20,3805.30,2970.60,2595.40
159,5700.60,3821.60,3809.10,2928.30,2566.00
160,5758.60,3844.90,3843.00,2965.20,2617.40
161,5775.40,3817.00,3789.50,3038.50,2634.80
162,5845.00,3901.30,3921.10,3030.80,2680.20
163,5857.70,3883.30,3881.40,3022.30,2693.00
164,5945.60,3899.10,3986.40,3085.60,2754.20
165,5957.20,3979.90,4007.00,3107.20,2702.20
166,6010.40,3998.20,4006.10,3119.10,2756.80
167,6023.10,3975.90,4035.30,3152.60,2769.60
168,6151.60,4048.70,4048.90,3211.10,2802.40
169,6101.40,4062.40,4126.10,3250.40,2790.40
170,6175.90,4106.60,4137.30,3275.70,2818.80
171,6199.20,4072.90,4170.10,3215.10,2820.40
172,6274.00,4131.40,4229.40,3271.20,2887.80
173,6269.40,4124.80,4221.40,3316.30,2866.20
174,6339.30,4117.00,4272.70,3362.10,2891.80
175,6370.70,4168.60,4225.80,3346.40,2950.60
176,6473.50,4261.20,4324.90,3409.50,2946.60
177,6426.50,4167.90,4310.80,3342.50,2946.60
178,6524.30,4253.00,4361.20,3450.00,2980.40
179,6519.30,4309.00,4351.00,3421.20,3013.00
180,6659.80,4375.00,4440.20,3441.70,3078.20
181,6596.90,4331.60,4406.90,3485.10,3065.80
182,6693.70,4460.10,4475.60,3568.20,3048.60
183,6714.30,4420.10,4506.60,3540.00,3044.80
184,6787.60,4454.70,4561.80,3568.70,3141.20
185,6752.00,4415.60,4565.90,3629.20,3133.60
186,6883.90,4535.40,4571.30,3606.20,3141.20
187,6912.60,4490.00,4606.00,3659.80,3100.60
188,6945.00,4578.30,4689.20,3699.20,3186.40
189,6995.40,4545.80,4665.30,3667.70,3197.20
190,7091.80,4683.60,4779.90,3719.00,3240.40
191,7046.70,4630.50,4709.50,3726.60,3230.80
192,7167.00,4705.90,4794.10,3789.50,3296.80
193,7140.50,4673.40,4755.70,3755.00,3263.60
194,7244.80,4737.90,4840.90,3818.60,3308.20
195,7231.30,4693.50,4838.70,3813.30,3332.20
196,7310.10,4723.10,4862.60,3854.30,3316.00
197,7325.50,4796.60,4880.10,3840.60,3369.40
198,7411.70,4797.70,4902.60,3890.30,3392.60
199,7354.10,4787.10,4941.50,3864.30,3409.80
200,7485.30,4917.20,5036.60,3939.80,3430.80
201,7477.80,4868.00,5093.50,3974.80,3467.00
202,7604.40,4984.40,5055.50,3958.00,3476.80
203,7572.40,4890.00,5111.70,3973.00,3479.80
204,7690.90,5023.80,5088.50,3977.40,3527.40
205,7657.30,4962.00,5138.10,4026.40,3474.20
206,7727.40,5046.70,5175.20,4094.20,3575.20
207,7799.10,5019.90,5144.80,4074.90,3558.60
208,7833.20,5118.40,5228.10,4109.80,3610.20
209,7862.50,5095.80,5262.60,4158.60,3567.40
210,7936.20,5151.20,5314.80,4131.40,3628.00
211,7953.20,5197.40,5244.40,4157.30,3622.00
212,8015.60,5213.40,5418.60,4206.30,3662.60
213,8032.40,5248.80,5356.10,4176.10,3658.00
214,8070.70,5220.70,5535.20,4250.60,3712.60
215,8120.60,5284.20,5480.90,4257.30,3681.00
216,8226.60,5349.40,5566.10,4304.00,3729.00
217,8219.30,5338.00,5373.60,4295.70,3740.00
218,8328.40,5363.00,5524.40,4321.80,3771.00
219,8250.60,5359.20,5630.70,4312.60,3799.80
220,8392.70,5375.70,5593.40,4390.20,3841.80
221,8371.70,5456.90,5693.70,4352.80,3772.40
222,8428.00,5471.10,5746.80,4386.70,3856.40
223,8459.00,5431.50,5717.10,4436.80,3881.40
224,8569.10,5557.70,5702.00,4476.50,3884.80
225,8592.00,5611.40,5698.70,4474.20,3879.20
226,8644.70,5576.30,5750.10,4520.30,3953.60
227,8622.20,5590.00,5873.30,4513.10,3964.00
