Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,1.00,0.00,0.00,0.00
2,0.00,8.50,0.00,0.00,0.00
3,0.00,25.20,0.00,0.00,0.00
4,0.00,38.20,0.00,0.00,0.00
5,0.00,53.80,0.00,0.00,0.00
6,0.00,71.90,0.00,0.00,0.00
7,0.00,86.30,0.00,0.00,0.00
8,0.00,108.60,0.00,0.00,0.00
9,0.00,125.90,0.00,0.00,0.00
10,0.00,149.20,0.00,0.00,0.00
11,0.00,161.30,0.00,0.00,0.00
12,0.00,185.90,0.00,0.00,0.00
13,0.00,207.70,0.00,0.00,0.00
14,0.00,231.40,0.00,0.00,0.00
15,0.00,241.50,0.00,0.00,0.00
16,0.00,261.70,0.00,0.00,0.00
17,0.00,295.10,0.00,0.00,0.00
18,0.00,313.00,0.00,0.00,0.00
19,0.00,336.30,0.00,0.00,0.00
20,0.00,359.50,0.00,0.00,0.00
21,0.00,380.20,0.00,0.00,0.00
22,0.00,418.10,0.00,0.00,0.00
23,0.00,430.50,0.00,0.00,0.00
24,0.00,452.10,0.00,0.00,0.00
25,0.00,465.20,0.00,0.00,0.00
26,0.00,501.50,0.00,0.00,0.00
27,0.00,516.30,0.00,0.00,0.00
28,0.00,539.60,0.00,0.00,0.00
29,0.00,570.10,0.00,0.00,0.00
30,0.00,596.30,0.00,0.00,0.00
31,0.00,603.40,0.00,0.00,0.00
32,0.00,641.40,0.00,0.00,0.00
33,0.00,673.60,0.00,0.00,0.00
34,0.00,684.10,0.00,0.00,0.00
35,0.00,717.20,0.00,0.00,0.00
36,0.00,712.50,0.00,0.00,0.00
37,0.00,784.80,0.00,0.00,0.00
38,0.00,791.00,0.00,0.00,0.00
39,0.00,833.70,0.00,0.00,0.00
40,0.00,841.40,0.00,0.00,0.00
41,0.00,880.30,0.00,0.00,0.00
42,0.00,871.10,0.00,0.00,0.00
43,0.00,912.10,0.00,0.00,0.00
44,0.00,960.40,0.00,0.00,0.00
45,0.00,951.20,0.00,0.00,0.00
46,0.00,991.60,0.00,0.00,0.00
47,0.00,1001.70,0.00,0.00,0.00
48,0.00,1054.60,0.00,0.00,0.00
49,0.00,1064.20,0.00,0.00,0.00
50,0.00,1085.80,0.00,0.00,0.00
51,0.00,1127.40,0.00,0.00,0.00
52,0.00,1172.20,0.00,0.00,0.00
53,0.00,1179.60,0.00,0.00,0.00
54,0.00,1177.20,0.00,0.00,0.00
55,0.00,1235.20,0.00,0.00,0.00
56,0.00,1266.50,0.00,0.00,0.00
57,0.00,1295.60,0.00,0.00,0.00
58,0.00,1294.60,0.00,0.00,0.00
59,0.00,1342.70,0.00,0.00,0.00
60,0.00,1348.40,0.00,0.00,0.00
61,0.00,1407.00,0.00,0.00,0.00
62,0.00,1422.90,0.00,0.00,0.00
63,0.00,1455.00,0.00,0.00,0.00
64,0.00,1463.80,0.00,0.00,0.00
65,0.00,1509.10,0.00,0.00,0.00
66,0.00,1519.40,0.00,0.00,0.00
67,0.00,1551.80,0.00,0.00,0.00
68,0.00,1570.10,0.00,0.00,0.00
69,0.00,1590.70,0.00,0.00,0.00
70,0.00,1637.00,0.00,0.00,0.00
71,0.00,1642.20,0.00,0.00,0.00
